,method,perplexity_mean,perplexity_std,compression_ratio_mean,compression_ratio_std,memory_reduction_pct,latency_mean_ms,latency_std_ms,exact_match,num_samples
Full Cache,Full Cache,206585.75625,30932.578828449077,1.0,0.0,0.0,18.90190136101511,0.038000027059281676,0.8333333333333334,15
StreamingLLM,StreamingLLM,206585.75625,30932.578828449077,3.9384615384615387,0.0,74.609375,18.90432596620586,0.021615419919586674,0.8333333333333334,15
H2O,H2O,,,1.0,0.0,0.0,,,,0
4-bit Quantization,4-bit Quantization,206585.75625,30932.578828449077,4.0,0.0,75.0,18.899433666633236,0.03931975578046477,0.8333333333333334,15
8-bit Quantization,8-bit Quantization,206585.75625,30932.578828449077,2.0,0.0,50.0,18.894070490366882,0.03100365813810261,0.8333333333333334,15
QARP-2.0x,QARP-2.0x,206585.75625,30932.578828449077,2.480338963860842,0.03600922703078383,59.67447916666667,18.886507550875347,0.02709841147941616,0.8333333333333334,15
QARP-4.0x,QARP-4.0x,206585.75625,30932.578828449077,4.4716157205240155,1.7763568394002505e-15,77.63671875,18.91121419353618,0.028744266197905037,0.8333333333333334,15
QARP-8.0x,QARP-8.0x,206585.75625,30932.578828449077,8.982456140350877,0.0,88.8671875,18.911061104800964,0.02196557065729569,0.8333333333333334,15
